asset_id,parent_asset_id,level,unit_id,system,canonical_name,criticality_score,system_asset_id,system_name,subsystem_asset_id,subsystem_name,asset_path,revenue_impact_usd,maintenance_cost_usd,event_count,work_order_count,maintenance_criticality_index,revenue_per_event_usd,cost_per_work_order_usd,top_root_cause_category,criticality_quadrant
STS-PLANT,,Plant,,Plant,Shakti Thermal Station,0.95,,,,,Shakti Thermal Station,15387813.813999997,2166466.63,36.0,220.0,98.0,427439.27,9847.58,Boiler-side,High impact / High spend
STS-U1,STS-PLANT,Unit,STS-U1,Unit,Unit 1 (660 MW),0.92,,,,,Shakti Thermal Station > Unit 1 (660 MW),15387813.813999997,2166466.63,36.0,220.0,96.8,427439.27,9847.58,Boiler-side,High impact / High spend
STS-U2,STS-PLANT,Unit,STS-U2,Unit,Unit 2 (660 MW),0.74,,,,,Shakti Thermal Station > Unit 2 (660 MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BOILER,STS-U1,System,STS-U1,Boiler,Boiler System,0.93,STS-U1-BOILER,Boiler System,,,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System,12114569.242999999,1751239.86,31.0,175.0,92.16,390792.56,10007.08,Boiler-side,High impact / High spend
STS-U1-TURBINE,STS-U1,System,STS-U1,Turbine,Turbine System,0.91,STS-U1-TURBINE,Turbine System,,,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System,406184.50800000003,175496.15,2.0,21.0,55.18,203092.25,8356.96,Turbine-side,Low impact / High spend
STS-U1-GENERATOR,STS-U1,System,STS-U1,Generator,Generator System,0.89,STS-U1-GENERATOR,Generator System,,,Shakti Thermal Station > Unit 1 (660 MW) > Generator System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-COOLING,STS-U1,System,STS-U1,Cooling,Cooling System,0.88,STS-U1-COOLING,Cooling System,,,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System,2867060.063,239730.62,3.0,24.0,61.31,955686.69,9988.78,Cooling constraints,High impact / High spend
STS-U1-ELECTRICAL,STS-U1,System,STS-U1,Electrical,Electrical System,0.8,STS-U1-ELECTRICAL,Electrical System,,,Shakti Thermal Station > Unit 1 (660 MW) > Electrical System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CONTROLS,STS-U1,System,STS-U1,Controls,Controls System,0.78,STS-U1-CONTROLS,Controls System,,,Shakti Thermal Station > Unit 1 (660 MW) > Controls System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BOI-FURNACE,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Furnace,0.91,STS-U1-BOILER,Boiler System,STS-U1-BOI-FURNACE,Furnace,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Furnace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BOI-IDFANS,STS-U1-BOILER,Subsystem,STS-U1,Boiler,ID Fans,0.9,STS-U1-BOILER,Boiler System,STS-U1-BOI-IDFANS,ID Fans,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > ID Fans,462902.0476075145,1313116.59,26.0,127.0,77.18,17803.92,10339.5,Boiler-side,Low impact / High spend
STS-U1-BOI-FDPAFANS,STS-U1-BOILER,Subsystem,STS-U1,Boiler,FD/PA Fans,0.86,STS-U1-BOILER,Boiler System,STS-U1-BOI-FDPAFANS,FD/PA Fans,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > FD/PA Fans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BOI-DAMPERS,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Dampers,0.88,STS-U1-BOILER,Boiler System,STS-U1-BOI-DAMPERS,Dampers,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Dampers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BOI-MILLS,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Mills,0.92,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills,6410112.885392484,204895.08000000002,3.0,25.0,64.49,2136704.3,8195.8,Fuel quality,High impact / High spend
STS-U1-BOI-APH,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Air Preheater,0.84,STS-U1-BOILER,Boiler System,STS-U1-BOI-APH,Air Preheater,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Air Preheater,0.0,158720.64,0.0,18.0,15.37,0.0,8817.81,,Low impact / Low spend
STS-U1-BOI-SH,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Superheater,0.89,STS-U1-BOILER,Boiler System,STS-U1-BOI-SH,Superheater,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Superheater,5241554.3100000005,74507.54999999999,2.0,5.0,60.99,2620777.16,14901.51,Boiler-side,High impact / Low spend
STS-U1-BOI-ECO,STS-U1-BOILER,Subsystem,STS-U1,Boiler,Economizer,0.85,STS-U1-BOILER,Boiler System,STS-U1-BOI-ECO,Economizer,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Economizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-TUR-HP,STS-U1-TURBINE,Subsystem,STS-U1,Turbine,HP Section,0.88,STS-U1-TURBINE,Turbine System,STS-U1-TUR-HP,HP Section,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > HP Section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
