node_id,node_type,canonical_name,description
ASSET::STS-PLANT,asset,Shakti Thermal Station,System=Plant Level=Plant
ASSET::STS-U1,asset,Unit 1 (660 MW),System=Unit Level=Unit
ASSET::STS-U2,asset,Unit 2 (660 MW),System=Unit Level=Unit
ASSET::STS-U1-BOILER,asset,Boiler System,System=Boiler Level=System
ASSET::STS-U1-TURBINE,asset,Turbine System,System=Turbine Level=System
ASSET::STS-U1-GENERATOR,asset,Generator System,System=Generator Level=System
ASSET::STS-U1-COOLING,asset,Cooling System,System=Cooling Level=System
ASSET::STS-U1-ELECTRICAL,asset,Electrical System,System=Electrical Level=System
ASSET::STS-U1-CONTROLS,asset,Controls System,System=Controls Level=System
ASSET::STS-U1-BOI-FURNACE,asset,Furnace,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-IDFANS,asset,ID Fans,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-FDPAFANS,asset,FD/PA Fans,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-DAMPERS,asset,Dampers,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-MILLS,asset,Mills,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-APH,asset,Air Preheater,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-SH,asset,Superheater,System=Boiler Level=Subsystem
ASSET::STS-U1-BOI-ECO,asset,Economizer,System=Boiler Level=Subsystem
ASSET::STS-U1-TUR-HP,asset,HP Section,System=Turbine Level=Subsystem
ASSET::STS-U1-TUR-IP,asset,IP Section,System=Turbine Level=Subsystem
ASSET::STS-U1-TUR-LP,asset,LP Section,System=Turbine Level=Subsystem
ASSET::STS-U1-TUR-BRG,asset,Bearings,System=Turbine Level=Subsystem
ASSET::STS-U1-TUR-CV,asset,Control Valves,System=Turbine Level=Subsystem
ASSET::STS-U1-GEN-ROTOR,asset,Rotor,System=Generator Level=Subsystem
ASSET::STS-U1-GEN-STATOR,asset,Stator,System=Generator Level=Subsystem
ASSET::STS-U1-GEN-H2,asset,Hydrogen System,System=Generator Level=Subsystem
ASSET::STS-U1-COL-CT,asset,Cooling Tower,System=Cooling Level=Subsystem
ASSET::STS-U1-COL-CND,asset,Condenser,System=Cooling Level=Subsystem
ASSET::STS-U1-COL-CWP,asset,CW Pumps,System=Cooling Level=Subsystem
ASSET::STS-U1-ELC-XFMR,asset,Transformer,System=Electrical Level=Subsystem
ASSET::STS-U1-ELC-SWYD,asset,Switchyard,System=Electrical Level=Subsystem
ASSET::STS-U1-CTL-DCS,asset,Unit DCS,System=Controls Level=Subsystem
ASSET::STS-U1-CTL-INST,asset,Instrumentation,System=Controls Level=Subsystem
ASSET::STS-U1-IDF-A,asset,ID Fan A,System=Boiler Level=Component
ASSET::STS-U1-IDF-B,asset,ID Fan B,System=Boiler Level=Component
ASSET::STS-U1-DAMPER-FG,asset,Flue Gas Damper,System=Boiler Level=Component
ASSET::STS-U1-APH-1,asset,Air Preheater Rotor,System=Boiler Level=Component
ASSET::STS-U1-SH-OUT,asset,Superheater Outlet,System=Boiler Level=Component
ASSET::STS-U1-ECO-IN,asset,Economizer Inlet,System=Boiler Level=Component
ASSET::STS-U1-MILL-1,asset,Coal Mill 1,System=Boiler Level=Component
ASSET::STS-U1-MILL-2,asset,Coal Mill 2,System=Boiler Level=Component
ASSET::STS-U1-MILL-3,asset,Coal Mill 3,System=Boiler Level=Component
ASSET::STS-U1-MILL-4,asset,Coal Mill 4,System=Boiler Level=Component
ASSET::STS-U1-MILL-5,asset,Coal Mill 5,System=Boiler Level=Component
ASSET::STS-U1-MILL-6,asset,Coal Mill 6,System=Boiler Level=Component
ASSET::STS-U1-TB-BRG2,asset,Turbine Bearing #2,System=Turbine Level=Component
ASSET::STS-U1-TB-CV-HP,asset,HP Control Valves,System=Turbine Level=Component
ASSET::STS-U1-CND,asset,Surface Condenser,System=Cooling Level=Component
ASSET::STS-U1-CTF-BANK1,asset,Cooling Tower Fans Bank 1,System=Cooling Level=Component
ASSET::STS-U1-CWP-1,asset,CW Pump 1,System=Cooling Level=Component
ASSET::STS-U1-CWP-2,asset,CW Pump 2,System=Cooling Level=Component
ASSET::STS-U1-XFMR-GSU,asset,GSU Transformer,System=Electrical Level=Component
ASSET::STS-U1-SWYD-1,asset,Switchyard Bay 1,System=Electrical Level=Component
ASSET::STS-U1-DCS,asset,Unit DCS Controller,System=Controls Level=Component
TAG::TAG-U1-FurnaceDraftPressure_Pa,sensor,FurnaceDraftPressure_Pa,Furnace draft pressure (negative pull).
TAG::TAG-U1-IDFanSpeed_pct,sensor,IDFanSpeed_pct,ID fan A speed (%).
TAG::TAG-U1-DamperPosition_pct,sensor,DamperPosition_pct,Flue gas damper position.
TAG::TAG-U1-O2_pct,sensor,O2_pct,Flue gas O₂ for combustion trim.
