asset_id,mock_ai_insight,generated_on_utc
STS-PLANT,"**Maintenance criticality view for Shakti Thermal Station**

- **Revenue impact (event-linked)**: $15,387,814 across **36** events (≈ $427,439/event)
- **Maintenance cost**: $2,166,467 across **220** work orders (≈ $9,848/WO)
- **Criticality index**: 98.0/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Boiler-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Review recurrent events and align PM tasks to the highest-consequence failure modes
",2026-03-03T03:07:07Z
STS-U1,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW)**

- **Revenue impact (event-linked)**: $15,387,814 across **36** events (≈ $427,439/event)
- **Maintenance cost**: $2,166,467 across **220** work orders (≈ $9,848/WO)
- **Criticality index**: 96.8/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Boiler-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Review recurrent events and align PM tasks to the highest-consequence failure modes
",2026-03-03T03:07:07Z
STS-U2,"**Maintenance criticality view for Shakti Thermal Station > Unit 2 (660 MW)**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-BOILER,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System**

- **Revenue impact (event-linked)**: $12,114,569 across **31** events (≈ $390,793/event)
- **Maintenance cost**: $1,751,240 across **175** work orders (≈ $10,007/WO)
- **Criticality index**: 92.2/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Boiler-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Prioritize condition monitoring on dominant boiler failure modes (draft, mills, heat transfer)
- Review recurrent alarms and implement rule-based early warnings
",2026-03-03T03:07:07Z
STS-U1-TURBINE,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Turbine System**

- **Revenue impact (event-linked)**: $406,185 across **2** events (≈ $203,092/event)
- **Maintenance cost**: $175,496 across **21** work orders (≈ $8,357/WO)
- **Criticality index**: 55.2/100 → **balanced but watchlisted**
- **Dominant event theme**: Turbine-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Trend valve position, vibration, and lube oil parameters for early detection
",2026-03-03T03:07:07Z
STS-U1-GENERATOR,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Generator System**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-COOLING,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Cooling System**

- **Revenue impact (event-linked)**: $2,867,060 across **3** events (≈ $955,687/event)
- **Maintenance cost**: $239,731 across **24** work orders (≈ $9,989/WO)
- **Criticality index**: 61.3/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Cooling constraints

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Use condenser vacuum and CW ΔT as leading indicators; correlate with derates
",2026-03-03T03:07:07Z
STS-U1-ELECTRICAL,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Electrical System**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-CONTROLS,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Controls System**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-BOI-FURNACE,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Furnace**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-BOI-IDFANS,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > ID Fans**

- **Revenue impact (event-linked)**: $462,902 across **26** events (≈ $17,804/event)
- **Maintenance cost**: $1,313,117 across **127** work orders (≈ $10,340/WO)
- **Criticality index**: 77.2/100 → **balanced but watchlisted**
- **Dominant event theme**: Boiler-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Inspect ID fan dampers/actuators and confirm full stroke with position feedback
- Validate draft DP and O₂ analyzer calibration; check impulse lines for plugging/leaks
- Tune furnace draft control loop (hunting/oscillation) and review constraint settings
- Run vibration/thermography checks on ID fan bearings and motor coupling
",2026-03-03T03:07:07Z
STS-U1-BOI-FDPAFANS,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > FD/PA Fans**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-BOI-DAMPERS,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Dampers**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-BOI-MILLS,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills**

- **Revenue impact (event-linked)**: $6,410,113 across **3** events (≈ $2,136,704/event)
- **Maintenance cost**: $204,895 across **25** work orders (≈ $8,196/WO)
- **Criticality index**: 64.5/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Fuel quality

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Check coal mill grinding elements, classifier settings, and feeder calibration
- Review coal moisture/fineness trends; tighten sampling and reject management
- Verify mill protection logic (current spikes/trips) and lube system health
- Align combustion settings after mill changeovers to prevent flame instability
",2026-03-03T03:07:07Z
STS-U1-BOI-APH,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Air Preheater**

- **Revenue impact (event-linked)**: $0 across **0** events (≈ $0/event)
- **Maintenance cost**: $158,721 across **18** work orders (≈ $8,818/WO)
- **Criticality index**: 15.4/100 → **possible over-maintenance / low-return spend**

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Prioritize condition monitoring on dominant boiler failure modes (draft, mills, heat transfer)
- Review recurrent alarms and implement rule-based early warnings
",2026-03-03T03:07:07Z
STS-U1-BOI-SH,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Superheater**

- **Revenue impact (event-linked)**: $5,241,554 across **2** events (≈ $2,620,777/event)
- **Maintenance cost**: $74,508 across **5** work orders (≈ $14,902/WO)
- **Criticality index**: 61.0/100 → **under-maintained risk (high consequence per dollar spent)**
- **Dominant event theme**: Boiler-side

**Why this is critical**
This ranking uses a risk-style view: frequency (events) as a proxy for likelihood, and revenue-at-risk as a proxy for consequence. Assets with both high consequence and high recurrence rise to the top for reliability work.

**Recommended maintenance focus (next 2–6 weeks)**
- Inspect superheater outlet metal temperature spread; confirm attemperator spray performance
- Review sootblower effectiveness and schedule targeted cleaning
- Check tube leak detection / acoustic monitoring thresholds
- Validate main steam temperature control tuning to avoid thermal excursions
",2026-03-03T03:07:07Z
STS-U1-BOI-ECO,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Economizer**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-TUR-HP,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > HP Section**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-TUR-IP,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > IP Section**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
STS-U1-TUR-LP,"**Maintenance criticality view for Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > LP Section**

No recorded events or work orders in the demo period. Treat this node as a baseline; criticality here is driven mainly by inherent design criticality and upstream/downstream dependencies.",2026-03-03T03:07:07Z
