email_id,timestamp,from_role,to_role,subject,body,linked_event_id,standard_event_id_truth
EML-00001,2024-04-18T17:05:00Z,Reliability Engineer,Performance Analyst,Cooling performance issue,Event EVT-DRAFT-20241219-26 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241219-26,EVT-DRAFT-20241219-26
EML-00002,2024-11-10T18:25:00Z,Shift Supervisor,Reliability Engineer,Planned outage scope,Event EVT-2023-07-WETCOAL recap: category=Fuel quality. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-07-WETCOAL,EVT-2023-07-WETCOAL
EML-00003,2023-05-17T20:00:00Z,Control Room Operator,Shift Supervisor,Controls issue review,Event EVT-DRAFT-20230927-07 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230927-07,EVT-DRAFT-20230927-07
EML-00004,2024-04-28T18:32:00Z,Maintenance Planner,Shift Supervisor,Cooling performance issue,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00005,2024-02-11T08:13:00Z,Maintenance Planner,Control Room Operator,Controls issue review,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00006,2024-08-24T13:19:00Z,Performance Analyst,Maintenance Planner,Draft instability follow-up,Event EVT-DRAFT-20240112-13 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240112-13,EVT-DRAFT-20240112-13
EML-00007,2024-08-21T19:24:00Z,Performance Analyst,Reliability Engineer,Planned outage scope,Event EVT-DRAFT-20240408-14 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240408-14,EVT-DRAFT-20240408-14
EML-00008,2024-10-29T03:02:00Z,Maintenance Planner,Performance Analyst,Cooling performance issue,Event EVT-DRAFT-20241130-25 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241130-25,EVT-DRAFT-20241130-25
EML-00009,2023-09-11T23:33:00Z,Maintenance Planner,Control Room Operator,Fuel moisture concerns,Event EVT-2024-09-PM2 recap: category=Planned Maintenance. Please review STS-U1-CTF-BANK1. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-09-PM2,EVT-2024-09-PM2
EML-00010,2024-02-15T18:49:00Z,Shift Supervisor,Performance Analyst,Turbine vibration investigation,Event EVT-2024-02-TB-VIB recap: category=Turbine-side. Please review STS-U1-TB-BRG2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-02-TB-VIB,EVT-2024-02-TB-VIB
EML-00011,2023-11-18T06:13:00Z,Control Room Operator,Reliability Engineer,Fuel moisture concerns,Event EVT-2024-09-PM2 recap: category=Planned Maintenance. Please review STS-U1-CTF-BANK1. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-09-PM2,EVT-2024-09-PM2
EML-00012,2024-05-30T18:19:00Z,Shift Supervisor,Maintenance Planner,Planned outage scope,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00013,2024-11-29T21:21:00Z,Maintenance Planner,Performance Analyst,Turbine vibration investigation,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00014,2024-04-08T17:41:00Z,Reliability Engineer,Shift Supervisor,Draft instability follow-up,Event EVT-DRAFT-20240902-23 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240902-23,EVT-DRAFT-20240902-23
EML-00015,2023-02-02T10:48:00Z,Shift Supervisor,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
